SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
LIC.0048;Astronomia Observacional;Graduação;30;40;2;Sim;LIC.601.0048;Curso 01602
LIC.0640;Astronomia Observacional;Graduação;40;53;2;Sim;FOR.L055;Curso 602x
LIC.0744;Astronomia Observacional e Fundamentos de Cosmologia;Graduação;60;80;4;Sim;FOR.L018;-
LIC.0636;Atividades Acadêmico-Científico-Culturais;Graduação;200;266;13;Sim;FOR.S017;Curso 602x
TEC.0166;Atividades Acadêmico-Científico-Culturais (Curso 405);Graduação;50;67;50;Sim;-;-
TEC.0089;Atividades Acadêmico-Científico-Culturais (Curso 436);Graduação;80;107;80;Sim;-;-
TEC.0178;Atividades acadêmico-científico-culturais (Curso 502);Graduação;100;133;100;Sim;-;-
LIC.0286;Atividades de Metodologia do Ensino de Biologia;Graduação;60;80;2;Sim;LIC.106.0050;Curso 106
LIC.0280;Atividades de Metodologia do Ensino de Ciências;Graduação;60;80;2;Sim;LIC.106.0049;Curso 106
LIC.0679;Atividades de Metodologia do Ensino de Ciências Humanas e Sociais ou Matemática I;Graduação;60;80;4;Sim;-;Curso 710
LIC.0680;Atividades de Metodologia do Ensino de Ciências Humanas e Sociais ou Matemática II;Graduação;60;80;4;Sim;-;Curso 710
LIC.0529;Atividades de Metodologia do Ensino de E/LE I;Graduação;60;80;2;Sim;-;-
LIC.0313;Atividades de Metodologia do Ensino de ELE I;Graduação;60;80;2;Sim;LIC.603.0069;Curso 603
LIC.0530;Atividades de Metodologia do Ensino de E/LE II;Graduação;60;80;2;Sim;-;-
LIC.0314;Atividades de Metodologia do Ensino de ELE II;Graduação;60;80;2;Sim;LIC.603.0070;Curso 603
